Word,Gloss,Chapter
מָקוֹם,"place, location",4
נַשִׂיא,"leader, chieftain",4
סוּס,horse,4
סוּסַה,mare,4
עיִר,"city, town",4
עֹלָה,burnt offering,4
עַמּוּד,"pillar, tent pole",4
צוּר,rock,4
שָׁמַיִם,"heaven, sky",4
בָּטַח,to trust; have confidence,5
גָּאַל,"to redeem, reclaim",5
זָבַח,"to slaughter, sacrafice",5
חָשַׁב,"to think, assume, plan",5
כַָּבֵד,"to be heavy, weigh heavily upon; be honored",5
כָּבֵד,"(adj.) heavy, thick, oppressing",5
לָבַשׁ,"to put on, clothe",5
לבוּשׁ,garment,5
לָכַד,"to catch, overthow",5
מַדּוּעַ,"why, on what account?",5
מִזְבֵּחַ,altar,5
מִסְפָּר,"number, quantity",5
נָבִיא,prophet,5
נָגַע,"to touch, strike",5
נָגַשׁ,"to approach, draw near, step forward",5
נָסַע,"to tear out, pull up; to journey further on",5
נָפַל,to fall,5
סָבִיב,"surrounding, on all sides",5
סָפַר,"to count, record",5
אֱמֶת,"truth, trustworthiness, faithfullness",11
גָּדוֹל,great,11
גֵּר,"stranger, alien (protected citizen)",11
חַטָּאת,"sin, sin offering",11
טָמֵא,"unclean, ceremonially unclean",11
יְשׁוּעָה,"help, salvation, deliverance",11
יֶתֶר,"remainder, excess",11
מַחֲנֶה,"camp, army",11
מַטֶּה,"stick, staff; tribe",11
מִלְחָמָה,"battle, war",11
מֶלֶךְ,"king, ruler",11
מַמְלָכָה,"dominion, kingdom",11
מִשְׁפָּט,"decision, judgement; law ",11
מִשְׁתֶּה,"banquet, feast",11
עֶבֶד,"servant, slave",11
עֲבוֹדָה,"work, service; worship",11
עוֹד,"again, still, as long as",11
פָּנִים,"front, face",11
פֶּתַח,"opening, entrance, door",11
שָׁכַב,"to lie down, to have sex",11
